,Barrels of Oil Produced,MCF of Gas Produced,Well Status,Well Type,Closest City
0,,,Inactive,Oil & Gas,Williston
1,459,670,Active,Oil & Gas,Williston
2,366,382,Active,Oil & Gas,Williston
3,436,2.7 k,Active,Oil & Gas,Williston
4,529,2.7 k,Active,Oil & Gas,Williston
5,1.8 k,2.4 k,Active,Oil & Gas,Williston
6,493,2.3 k,Active,Oil & Gas,Williston
7,1.1 k,2.5 k,Active,Oil & Gas,Williston
8,1.7 k,2 k,Active,Oil & Gas,Williston
9,,,Inactive,Oil & Gas,Williston
10,944,1.5 k,Active,Oil & Gas,Williston
11,,,Active,Salt Water Disposal,Williston
12,118,436,Active,Oil & Gas,Williston
13,906,1.6 k,Active,Oil & Gas,Williston
14,,,Plugged and Abandoned,Oil & Gas,Williston
15,755,820,Active,Oil & Gas,Williston
16,,,Abandoned,Oil & Gas,Williston
17,3.1 k,2.2 k,Active,Oil & Gas,Williston
18,505,1.6 k,Active,Oil & Gas,Williston
19,125,64,Active,Oil & Gas,Williston
20,,,Inactive,Oil & Gas,Williston
21,126,2 k,Active,Oil & Gas,Williston
22,1.8 k,1.1 k,Active,Oil & Gas,Williston
23,676,746,Active,Oil & Gas,Williston
24,338,3.2 k,Active,Oil & Gas,Williston
25,98,126,Active,Oil & Gas,Williston
26,767,713,Active,Oil & Gas,Williston
27,1.1 k,598,Active,Oil & Gas,Williston
28,324,323,Active,Oil & Gas,Williston
29,1.5 k,3.8 k,Active,Oil & Gas,Williston
30,478,828,Active,Oil & Gas,Williston
31,,,Dry Hole,Oil & Gas,Williston
32,457,6.1 k,Active,Oil & Gas,Williston
33,,,Plugged and Abandoned,Oil & Gas,Williston
34,1.9 k,5.7 k,Active,Oil & Gas,Williston
35,275,2.7 k,Active,Oil & Gas,Williston
36,,,Permit Now Cancelled,Oil & Gas,Williston
